@RELATION 10000

@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE y {0,1}

@DATA
0.640255,0.888468,1
0.421079,0.420984,0
0.238658,0.080470,0
0.180179,0.695706,0
0.888086,0.679153,1
0.238368,0.301565,0
0.418648,0.013573,0
0.543555,0.744256,1
0.763928,0.833835,1
0.670860,0.813465,1
0.057136,0.247752,0
0.184457,0.563908,0
0.287753,0.354792,0
0.316500,0.351476,0
0.821172,0.795150,1
0.410691,0.619348,0
0.569234,0.893632,1
0.578989,0.731456,1
0.366101,0.071260,0
0.802227,0.784491,1
0.151825,0.721874,0
0.268829,0.994670,0
0.895007,0.806701,1
0.090601,0.951776,0
0.796354,0.006766,1
0.660494,0.760522,1
0.206494,0.391180,0
0.824512,0.848073,1
0.864288,0.208751,1
0.728370,0.006610,1
0.515973,0.591054,1
0.669270,0.061099,1
0.710820,0.666970,1
0.534121,0.404976,1
0.585593,0.831896,1
0.437750,0.530241,0
0.747945,0.689239,1
0.988147,0.593490,1
0.947994,0.487461,1
0.200504,0.005718,0
0.087671,0.712868,0
0.457770,0.011251,0
0.259022,0.866479,0
0.072702,0.229956,0
0.925528,0.352764,1
0.944832,0.176926,1
0.064566,0.838658,0
0.525537,0.845112,1
0.074526,0.403202,0
0.805331,0.538926,1
0.516677,0.291323,1
0.319768,0.280625,0
0.309723,0.109670,0
0.233782,0.276319,0
0.824124,0.858084,1
0.409051,0.124731,0
0.433556,0.277215,0
0.984928,0.679408,1
0.472542,0.610943,0
0.410707,0.733818,0
0.222093,0.031672,0
0.055486,0.988857,0
0.499326,0.657255,0
0.491598,0.083549,0
0.662362,0.300192,1
0.298565,0.822275,0
0.358430,0.832928,0
0.766758,0.115648,1
0.140913,0.327480,0
0.193419,0.567188,0
0.160233,0.933295,0
0.558430,0.084264,1
0.493766,0.794146,0
0.243190,0.369266,0
0.321614,0.173046,0
0.113181,0.655805,0
0.077909,0.353567,0
0.723300,0.594745,1
0.911406,0.816624,1
0.624733,0.766168,1
0.274497,0.653680,0
0.753147,0.895934,1
0.226376,0.170514,0
0.660187,0.489248,1
0.083905,0.160100,0
0.913757,0.258718,1
0.382896,0.378798,0
0.337270,0.420661,0
0.722799,0.346984,1
0.884053,0.660958,1
0.959453,0.713415,1
0.850290,0.330551,1
0.383374,0.072025,0
0.818398,0.220700,1
0.975155,0.300509,1
0.192429,0.089427,0
0.564926,0.202006,1
0.438067,0.963101,0
0.739398,0.474280,1
0.172053,0.120903,0
0.637895,0.805305,1
0.059293,0.584969,0
0.357840,0.199744,0
0.070676,0.885267,0
0.550561,0.477766,1
0.030573,0.845835,0
0.929841,0.255814,1
0.540249,0.147775,1
0.838521,0.618326,1
0.301852,0.464447,0
0.722532,0.120091,1
0.587419,0.035585,1
0.347130,0.720836,0
0.098270,0.649616,0
0.856657,0.746794,1
0.742424,0.137228,1
0.327045,0.998442,0
0.921119,0.644295,1
0.289357,0.679213,0
0.760272,0.148531,1
0.813028,0.906969,1
0.348660,0.911816,0
0.129043,0.188112,0
0.451865,0.818889,0
0.446181,0.383689,0
0.359467,0.843180,0
0.567517,0.377468,1
0.492727,0.201803,0
0.149746,0.867890,0
0.150950,0.114313,0
0.964499,0.448974,1
0.306979,0.463579,0
0.318647,0.419653,0
0.675704,0.072191,1
0.869720,0.566690,1
0.374237,0.754103,0
0.432911,0.503238,0
0.368359,0.778738,0
0.017718,0.013265,0
0.557072,0.893595,1
0.255150,0.251490,0
0.785575,0.591412,1
0.580527,0.579128,1
0.296699,0.879247,0
0.022227,0.277668,0
0.131831,0.409372,0
0.213376,0.376059,0
0.774543,0.465654,1
0.291290,0.351106,0
0.893685,0.964150,1
0.678594,0.516538,1
0.387348,0.322938,0
0.350321,0.503109,0
0.055148,0.783710,0
0.082837,0.350292,0
0.133474,0.526486,0
0.353352,0.379494,0
0.616818,0.708826,1
0.012830,0.199431,0
0.758050,0.382188,1
0.590505,0.906177,1
0.391461,0.090668,0
0.104756,0.783589,0
0.754631,0.841093,1
0.553022,0.584220,1
0.298661,0.048510,0
0.832455,0.776479,1
0.571014,0.007399,1
0.703430,0.980741,1
0.631219,0.416461,1
0.549594,0.185250,1
0.616878,0.493652,1
0.110999,0.232079,0
0.015943,0.258128,0
0.070962,0.494079,0
0.920897,0.627103,1
0.362658,0.625655,0
0.041502,0.078124,0
0.328037,0.763384,0
0.534983,0.761085,1
0.409514,0.576891,0
0.775974,0.109310,1
0.883997,0.126068,1
0.033321,0.195354,0
0.259137,0.567635,0
0.646772,0.304696,1
0.343321,0.372211,0
0.703842,0.459277,1
0.673762,0.862465,1
0.405589,0.912901,0
0.941133,0.563599,1
0.279800,0.961780,0
0.284575,0.069301,0
0.151016,0.766063,0
0.847463,0.869512,1
0.309104,0.261961,0
0.782226,0.860717,1
0.631504,0.659134,1
0.971555,0.065170,1
0.509064,0.464284,1
0.093733,0.422369,0
0.301305,0.449445,0
0.301402,0.384239,0
0.704205,0.492244,1
0.705929,0.444938,1
0.852073,0.755449,1
0.063651,0.666814,0
0.194801,0.244415,0
0.545615,0.726001,1
0.192756,0.383558,0
0.239038,0.994277,0
0.653804,0.886803,1
0.076568,0.698228,0
0.100455,0.861973,0
0.218510,0.252438,0
0.899793,0.785380,1
0.523565,0.450318,1
0.014898,0.710414,0
0.635188,0.314368,1
0.143632,0.832732,0
0.383574,0.057078,0
0.699183,0.324657,1
0.657328,0.784325,1
0.556467,0.172719,1
0.634275,0.285054,1
0.739452,0.604788,1
0.277438,0.494186,0
0.256738,0.577042,0
0.300065,0.990111,0
0.106146,0.706068,0
0.382710,0.193787,0
0.063847,0.977643,0
0.285697,0.773383,0
0.249506,0.541337,0
0.641910,0.126574,1
0.616151,0.908824,1
0.637716,0.711984,1
0.451967,0.913837,0
0.493898,0.431981,0
0.700920,0.863013,1
0.643855,0.230895,1
0.410106,0.409381,0
0.772927,0.565930,1
0.893942,0.814061,1
0.430524,0.432436,0
0.268799,0.426765,0
0.755880,0.180872,1
0.856397,0.411992,1
0.968577,0.449720,1
0.580247,0.975330,1
0.666593,0.156757,1
0.886692,0.603104,1
0.647489,0.640503,1
0.910519,0.118583,1
0.922431,0.724361,1
0.574887,0.679336,1
0.828118,0.687828,1
0.066275,0.192777,0
0.658270,0.872361,1
0.657374,0.010795,1
0.034194,0.923882,0
0.164329,0.179367,0
0.313038,0.479565,0
0.419479,0.965359,0
0.692701,0.443462,1
0.016691,0.860240,0
0.313970,0.863713,0
0.243627,0.769257,0
0.583299,0.823455,1
0.553769,0.634618,1
0.143746,0.688250,0
0.150728,0.312540,0
0.406957,0.514748,0
0.258364,0.126568,0
0.325648,0.418465,0
0.432454,0.153333,0
0.133932,0.222967,0
0.833130,0.961985,1
0.111907,0.768430,0
0.722043,0.224795,1
0.041275,0.844448,0
0.574149,0.343995,1
0.910399,0.830116,1
0.101308,0.998679,0
0.599995,0.773860,1
0.173276,0.305653,0
0.734827,0.826112,1
0.091486,0.109399,0
0.622058,0.649871,1
0.921913,0.768857,1
0.213570,0.677344,0
0.625600,0.692521,1
0.327368,0.855269,0
0.538870,0.788387,1
0.942332,0.827203,1
0.349980,0.941570,0
0.240883,0.337949,0
0.094963,0.609960,0
0.215770,0.013488,0
0.852605,0.637066,1
0.080028,0.569165,0
0.757011,0.421229,1
0.423233,0.929571,0
0.665917,0.651704,1
0.042566,0.705456,0
0.323887,0.924609,0
0.643790,0.966187,1
0.141772,0.685563,0
0.155067,0.270659,0
0.777273,0.110854,1
0.225693,0.475263,0
0.546173,0.735272,1
0.592144,0.924396,1
0.319793,0.862287,0
0.385428,0.247179,0
0.971449,0.051028,1
0.126618,0.133467,0
0.623151,0.264579,1
0.111515,0.142883,0
0.913534,0.585368,1
0.120746,0.812536,0
0.258963,0.755998,0
0.908220,0.072251,1
0.612005,0.187621,1
0.718693,0.250522,1
0.534914,0.493030,1
0.164318,0.760115,0
0.500526,0.047915,1
0.150386,0.889105,0
0.208908,0.561263,0
0.182080,0.991346,0
0.365366,0.144681,0
0.306917,0.769747,0
0.803865,0.910469,1
0.151632,0.276416,0
0.059646,0.699528,0
0.997649,0.715641,1
0.495825,0.142765,0
0.605842,0.128833,1
0.870953,0.893418,1
0.549176,0.564986,1
0.798004,0.532771,1
0.140896,0.395859,0
0.890009,0.348033,1
0.656299,0.022003,1
0.513474,0.908666,1
0.437713,0.333924,0
0.978022,0.126255,1
0.645172,0.942089,1
0.679104,0.273059,1
0.869361,0.370128,1
0.180393,0.255643,0
0.558776,0.117528,1
0.473445,0.292564,0
0.229626,0.741253,0
0.684424,0.028839,1
0.724874,0.880150,1
0.311182,0.035000,0
0.367896,0.451676,0
0.668695,0.584788,1
0.716609,0.087357,1
0.596843,0.583116,1
0.765506,0.241607,1
0.641755,0.524692,1
0.865891,0.307910,1
0.860391,0.403748,1
0.338712,0.507037,0
0.117790,0.566601,0
0.739740,0.273905,1
0.247376,0.601315,0
0.003439,0.362822,0
0.726924,0.492534,1
0.239736,0.915307,0
0.586302,0.434556,1
0.786976,0.290295,1
0.107801,0.892065,0
0.234737,0.543497,0
0.505845,0.725424,1
0.521746,0.060823,1
0.180120,0.456249,0
0.887007,0.000188,1
0.324608,0.039030,0
0.406344,0.876705,0
0.644765,0.825814,1
0.081933,0.838157,0
0.686045,0.763559,1
0.968965,0.920828,1
0.809191,0.247518,1
0.621468,0.850174,1
0.161222,0.469049,0
0.218397,0.756477,0
0.085723,0.542582,0
0.091460,0.512548,0
0.292071,0.173945,0
0.017739,0.268710,0
0.760425,0.141099,1
0.563039,0.159685,1
0.797788,0.398340,1
0.965979,0.088709,1
0.880195,0.186325,1
0.538190,0.956077,1
0.917033,0.132805,1
0.322612,0.692506,0
0.355738,0.962771,0
0.799695,0.982116,1
0.108596,0.101707,0
0.760444,0.615486,1
0.628080,0.151983,1
0.075585,0.000150,0
0.583169,0.949930,1
0.981728,0.474093,1
0.496272,0.669931,0
0.678262,0.717176,1
0.388901,0.231913,0
0.482812,0.736121,0
0.953948,0.089908,1
0.528450,0.610587,1
0.023373,0.331884,0
0.002435,0.431014,0
0.132390,0.904844,0
0.224129,0.633374,0
0.794658,0.694229,1
0.438830,0.241570,0
0.697749,0.132945,1
0.064601,0.365189,0
0.404127,0.992879,0
0.270803,0.668462,0
0.300092,0.020557,0
0.189863,0.425674,0
0.473646,0.118629,0
0.767931,0.208984,1
0.921921,0.846169,1
0.245423,0.216468,0
0.989833,0.113300,1
0.525040,0.741417,1
0.223822,0.079458,0
0.232728,0.308292,0
0.888017,0.429642,1
0.106117,0.556434,0
0.234907,0.399278,0
0.455353,0.039523,0
0.248565,0.145888,0
0.832819,0.726946,1
0.985691,0.324506,1
0.721113,0.142659,1
0.828237,0.013868,1
0.002727,0.757785,0
0.931079,0.461646,1
0.210252,0.465085,0
0.899209,0.469581,1
0.072507,0.706653,0
0.261102,0.623104,0
0.669864,0.100541,1
0.618441,0.985142,1
0.591129,0.217721,1
0.447068,0.320027,0
0.844700,0.497707,1
0.400026,0.391005,0
0.918307,0.159291,1
0.620783,0.383633,1
0.304525,0.362303,0
0.013193,0.047360,0
0.013308,0.806938,0
0.634496,0.718916,1
0.078179,0.419116,0
0.378610,0.993631,0
0.829298,0.763521,1
0.899225,0.444646,1
0.754485,0.350349,1
0.285649,0.454956,0
0.098365,0.057483,0
0.349122,0.923571,0
0.960181,0.476720,1
0.503261,0.334579,1
0.542390,0.110837,1
0.129530,0.436714,0
0.375024,0.997696,0
0.007130,0.571040,0
0.794917,0.518255,1
0.856390,0.505688,1
0.694208,0.857274,1
0.295752,0.489084,0
0.569175,0.828646,1
0.544657,0.116925,1
0.198279,0.551725,0
0.018099,0.523188,0
0.857411,0.770661,1
0.553378,0.351729,1
0.840682,0.445694,1
0.385520,0.942614,0
0.196695,0.613495,0
0.145084,0.176051,0
0.013104,0.413072,0
0.090546,0.456893,0
0.286340,0.604425,0
0.507165,0.393913,1
0.398768,0.869038,0
0.705243,0.830650,1
0.492110,0.674466,0
0.332870,0.018357,0
0.573840,0.509686,1
0.781777,0.886669,1
0.022360,0.853561,0
0.309596,0.563858,0
0.267093,0.325636,0
0.127841,0.526116,0
0.811270,0.086719,1
0.112124,0.014076,0
0.437997,0.706039,0
0.979612,0.644812,1
0.394325,0.392491,0
0.748452,0.468881,1
0.583380,0.699379,1
0.044873,0.074472,0
0.311202,0.555200,0
0.355884,0.724536,0
0.932830,0.747487,1
0.638986,0.927816,1
0.821219,0.792331,1
0.795033,0.290956,1
0.442979,0.459160,0
0.386341,0.976452,0
0.966495,0.088491,1
0.639395,0.599946,1
0.750836,0.239801,1
0.209961,0.940446,0
0.267995,0.137325,0
0.408142,0.408324,0
0.496318,0.843482,0
0.581905,0.818474,1
0.589593,0.082831,1
0.139803,0.649835,0
0.674144,0.163840,1
0.257137,0.637474,0
0.955328,0.501438,1
0.654478,0.239764,1
0.925241,0.830209,1
0.963500,0.250693,1
0.354998,0.316287,0
0.102247,0.586150,0
0.927820,0.425390,1
0.770477,0.063054,1
0.823261,0.585105,1
0.645432,0.811516,1
0.298274,0.391480,0
0.109362,0.812716,0
0.327377,0.353079,0
0.372359,0.939008,0
0.662073,0.940149,1
0.667534,0.787775,1
0.248772,0.012140,0
0.790292,0.546865,1
0.804780,0.533782,1
0.629456,0.106973,1
0.493570,0.858065,0
0.495175,0.645108,0
0.063374,0.753885,0
0.987084,0.943353,1
0.517236,0.786793,1
0.865857,0.778376,1
0.368026,0.623173,0
0.892317,0.819742,1
0.798516,0.321379,1
0.880446,0.608793,1
